,FPR,TPR,Threshold
0,0.0,0.000434593654932638,0.9815100650406146
1,0.0,0.003476749239461104,0.9697932807839976
2,0.00010417751849150954,0.003476749239461104,0.9691865926123032
3,0.00010417751849150954,0.012168622338113864,0.9524003466717603
4,0.00020835503698301907,0.012168622338113864,0.9521411534132893
5,0.00020835503698301907,0.01303780964797914,0.9520638829885858
6,0.0003125325554745286,0.01303780964797914,0.9520062868265018
7,0.0003125325554745286,0.024771838331160364,0.9437518289890796
8,0.00041671007396603814,0.024771838331160364,0.9436776000639184
9,0.00041671007396603814,0.030856149500217298,0.9387768945955572
10,0.0005208875924575477,0.030856149500217298,0.937647862122947
11,0.0005208875924575477,0.03215993046501521,0.9369068265090278
12,0.0006250651109490572,0.03215993046501521,0.9361060882025375
13,0.0006250651109490572,0.03867883528900478,0.9315147690215604
14,0.0007292426294405667,0.03867883528900478,0.930881364089774
15,0.0007292426294405667,0.03911342894393742,0.9308579761710406
16,0.0009375976664235858,0.03911342894393742,0.9298449855503693
17,0.0009375976664235858,0.04389395914819644,0.9259024460700158
18,0.0010417751849150954,0.04389395914819644,0.9258232579084912
19,0.0010417751849150954,0.060843111690569315,0.9181026699919254
20,0.0011459527034066049,0.060843111690569315,0.9178012764594555
21,0.0011459527034066049,0.06562364189482833,0.9148817325495358
22,0.0012501302218981144,0.06562364189482833,0.9147712859960538
23,0.0012501302218981144,0.07214254671881791,0.9119815655893218
24,0.0013543077403896239,0.07214254671881791,0.9118535926996036
25,0.0013543077403896239,0.07605388961321165,0.9105667217093804
26,0.0014584852588811334,0.07605388961321165,0.9102152561004436
27,0.0014584852588811334,0.08083441981747067,0.9081083699807007
28,0.001562662777372643,0.08083441981747067,0.9080354604051979
29,0.001562662777372643,0.0812690134724033,0.9078549733784885
30,0.0016668402958641526,0.0812690134724033,0.907769871286645
31,0.0016668402958641526,0.08257279443720121,0.9063623356218036
32,0.001771017814355662,0.08257279443720121,0.9062023985117337
33,0.001771017814355662,0.08778791829639288,0.9029381030147559
34,0.0018751953328471716,0.08778791829639288,0.9026094326027247
35,0.0018751953328471716,0.09256844850065189,0.8997828375089841
36,0.0020835503698301908,0.09256844850065189,0.899473944345552
37,0.0020835503698301908,0.09474141677531508,0.8976978678843384
38,0.0021877278883217,0.09474141677531508,0.8975363586298508
39,0.0021877278883217,0.10082572794437202,0.8951267322848526
40,0.0022919054068132098,0.10082572794437202,0.89476507046573
41,0.0022919054068132098,0.11082138200782268,0.8901586016407489
42,0.002396082925304719,0.11082138200782268,0.89014494949061
43,0.002396082925304719,0.11994784876140809,0.8826958327477987
44,0.0025002604437962287,0.11994784876140809,0.882244315693749
45,0.0025002604437962287,0.12255541069100391,0.8808593703997086
46,0.0026044379622877385,0.12255541069100391,0.8805164166408928
47,0.0026044379622877385,0.12429378531073447,0.8796535221851696
48,0.0027086154807792477,0.12429378531073447,0.8791104062288113
49,0.0027086154807792477,0.1295089091699261,0.8769033532499909
50,0.0029169705177622667,0.1295089091699261,0.8765245714496217
51,0.0029169705177622667,0.1338548457192525,0.8753029667784856
52,0.0030211480362537764,0.1338548457192525,0.8751722085762458
53,0.0030211480362537764,0.13472403302911778,0.874829519940592
54,0.003125325554745286,0.13472403302911778,0.8742406096702607
55,0.003125325554745286,0.13689700130378096,0.8729917080204475
56,0.0032295030732367954,0.13689700130378096,0.872601558837138
57,0.0032295030732367954,0.13820078226857888,0.8719403729062772
58,0.003333680591728305,0.13820078226857888,0.871433229574918
59,0.003333680591728305,0.14385049978270317,0.8686195554926018
60,0.0034378581102198144,0.14385049978270317,0.868549324725402
61,0.0034378581102198144,0.14689265536723164,0.8649617604674221
62,0.003542035628711324,0.14689265536723164,0.864921471025777
63,0.003542035628711324,0.14863102998696218,0.8638683293269468
64,0.003646213147202834,0.14863102998696218,0.8636723626336109
65,0.003646213147202834,0.1521077792264233,0.8607457662023839
66,0.003750390665694343,0.1521077792264233,0.8606343528464342
67,0.003750390665694343,0.1590612777053455,0.855414538146579
68,0.003854568184185853,0.1590612777053455,0.8553909398170245
69,0.003854568184185853,0.16297262059973924,0.852604887999839
70,0.003958745702677362,0.16297262059973924,0.8524703914844076
71,0.003958745702677362,0.16427640156453716,0.8517773769438045
72,0.004062923221168872,0.16427640156453716,0.8517675467240629
73,0.004062923221168872,0.16862233811386354,0.848204302925363
74,0.0041671007396603815,0.16862233811386354,0.848084859281596
75,0.0041671007396603815,0.16992611907866145,0.8462207161228726
76,0.004271278258151891,0.16992611907866145,0.8458233653747831
77,0.004271278258151891,0.17209908735332463,0.844220590906347
78,0.0043754557766434,0.17209908735332463,0.8440206097818181
79,0.0043754557766434,0.1738374619730552,0.842232938365632
80,0.00447963329513491,0.1738374619730552,0.8420990471548817
81,0.00447963329513491,0.17905258583224684,0.837815461513879
82,0.0045838108136264195,0.17905258583224684,0.8377838010144854
83,0.0045838108136264195,0.1807909604519774,0.8371461767411567
84,0.004896343369100948,0.1807909604519774,0.8361263154819464
85,0.004896343369100948,0.18166014776184267,0.8354785269858666
86,0.005104698406083967,0.18166014776184267,0.8349974911972796
87,0.005104698406083967,0.18470230334637114,0.8314414420867337
88,0.005208875924575477,0.18470230334637114,0.8313882295475996
89,0.005208875924575477,0.19035202086049544,0.8264887939744299
90,0.005313053443066986,0.19035202086049544,0.8264322621327987
91,0.005313053443066986,0.19078661451542808,0.8258731206186036
92,0.0054172309615584955,0.19078661451542808,0.8256987178413507
93,0.0054172309615584955,0.19252498913515861,0.824440917177599
94,0.005625585998541515,0.19252498913515861,0.8237245450039985
