iter	Logloss
0	0.6461200044
1	0.605158644
2	0.5703949935
3	0.5420120952
4	0.5183838688
5	0.4938767809
6	0.4739512625
7	0.4579469865
8	0.4425592402
9	0.4292275735
10	0.4142423386
11	0.4030610307
12	0.3936097838
13	0.3851844781
14	0.3782608881
15	0.3716823478
16	0.3653926657
17	0.3614576517
18	0.3567873451
19	0.3530503581
20	0.3498385459
21	0.346188076
22	0.3437590298
23	0.3399077468
24	0.3367905543
25	0.3344037491
26	0.332151294
27	0.3296753269
28	0.3274335041
29	0.325515726
30	0.3235887042
31	0.3222754089
32	0.3209994203
33	0.3198567982
34	0.3183247619
35	0.317212872
36	0.3163064005
37	0.3151158281
38	0.3143802079
39	0.3131962237
40	0.3126109766
41	0.3118627497
42	0.3112266629
43	0.3103458553
44	0.3097996785
45	0.3093154174
46	0.3084797734
47	0.3078630256
48	0.307355606
49	0.3070355674
50	0.3065987984
51	0.3061330589
52	0.3055342212
53	0.3049868333
54	0.3046623537
55	0.3042319027
56	0.3039033708
57	0.3036632636
58	0.3034170894
59	0.3031539238
60	0.302870797
61	0.3026299302
62	0.3022539212
63	0.3020121295
64	0.3017406206
65	0.3014441898
66	0.3011897341
67	0.3008006295
68	0.3006071167
69	0.3004303462
70	0.3001841074
71	0.2999548841
72	0.2996982387
73	0.2994622514
74	0.2992502342
75	0.2990192218
76	0.2988065625
77	0.2985173523
78	0.2983040708
79	0.2982267404
80	0.2980929011
81	0.2979600397
82	0.2976982931
83	0.2975761893
84	0.2974295818
85	0.2973409934
86	0.2971763827
87	0.2969748498
88	0.2968063592
89	0.2966416696
90	0.2964881532
91	0.2962271474
92	0.2961276294
93	0.2959265672
94	0.2957714461
95	0.2956674419
96	0.2955846532
97	0.2955328222
98	0.29546165
99	0.2952822489
100	0.295186538
101	0.2951013332
102	0.2948964985
103	0.2947092268
104	0.2945071003
105	0.2943927808
106	0.2942923818
107	0.2942240846
108	0.2941890387
109	0.2941295341
110	0.2940703173
111	0.2939792437
112	0.293881679
113	0.2936857366
114	0.2936023661
115	0.2934780996
116	0.2933248799
117	0.2931982374
118	0.293020813
119	0.2929304967
120	0.2927897489
121	0.2926773403
122	0.2925955756
123	0.2924838854
124	0.2923872937
125	0.2922462375
126	0.2921766872
127	0.2921409075
128	0.2921256925
129	0.2920328135
130	0.2919367163
131	0.291849468
132	0.2917791579
133	0.2916668541
134	0.2915601348
135	0.2914013985
136	0.2913515164
137	0.2912654135
138	0.2911837412
139	0.2910483181
140	0.290990009
141	0.2909018445
142	0.2908399703
143	0.2906847954
144	0.2906015811
145	0.2905153637
146	0.2904414659
147	0.2903909142
148	0.2902701623
149	0.2902067438
150	0.2901166392
151	0.2900347222
152	0.2899224525
153	0.2898648736
154	0.2897768959
155	0.2897233424
156	0.2895955096
157	0.2895460785
158	0.2894597513
159	0.2893713757
160	0.2893121086
161	0.2892297166
162	0.2891307149
163	0.289130702
164	0.2890013732
165	0.2888977793
166	0.2887986006
167	0.2886617847
168	0.2885931248
169	0.2884055439
170	0.2882849337
171	0.2881965573
172	0.2881150092
173	0.288069921
174	0.2879734612
175	0.2878884982
176	0.2878869552
177	0.2878037661
178	0.2877143487
179	0.2876322408
180	0.2875244707
181	0.2874347107
182	0.2873452111
183	0.2872661016
184	0.2871739669
185	0.2870882008
186	0.2869886972
187	0.2869551777
188	0.2868750793
189	0.2867987882
190	0.2866361066
191	0.2865592721
192	0.2864265915
193	0.2863093295
194	0.2862072183
195	0.2861171807
196	0.2860140783
197	0.2859344546
198	0.2857984695
199	0.2856501591
200	0.2855972947
201	0.2855373709
202	0.285466165
203	0.2853332075
204	0.2852318662
205	0.285180759
206	0.2850892724
207	0.2850632719
208	0.2849153967
209	0.2848135899
210	0.2847346632
211	0.284649157
212	0.2845037782
213	0.2843731937
214	0.2842633162
215	0.2841468449
216	0.2840707242
217	0.283981001
218	0.2839036736
219	0.2837856565
220	0.2836964212
221	0.2835872007
222	0.2834925729
223	0.2834201669
224	0.2833726904
225	0.2832976257
226	0.2832807048
227	0.2832155109
228	0.283114438
229	0.2830201239
230	0.2829404503
231	0.2828633352
232	0.282817553
233	0.282699064
234	0.2826512898
235	0.2825955812
236	0.2825136612
237	0.2825134468
238	0.2824737432
239	0.2824143932
240	0.2822815239
241	0.2822177162
242	0.2821610449
243	0.282068757
244	0.2819751116
245	0.2818878044
246	0.2818128216
247	0.2817565623
248	0.28164461
249	0.2815683919
250	0.2814977402
251	0.2814019875
252	0.2813050394
253	0.2812241068
254	0.2811163736
255	0.2810101775
256	0.2809302608
257	0.2808842117
258	0.2807822531
259	0.2806850161
260	0.2806563136
261	0.2806110482
262	0.2805382643
263	0.2804469809
264	0.2803838072
265	0.2802736431
266	0.2802104551
267	0.2800673641
268	0.279996035
269	0.2799404804
270	0.2798456451
271	0.279775433
272	0.2796936328
273	0.2796445303
274	0.2795987053
275	0.2795326372
276	0.2794549628
277	0.2793696717
278	0.2792917999
279	0.2792272531
280	0.279118833
281	0.2790246177
282	0.2789786957
283	0.2788822668
284	0.2787808156
285	0.2786976778
286	0.2785960704
287	0.2785407623
288	0.2783927326
289	0.2782804213
290	0.2782101559
291	0.2781574952
292	0.278055123
293	0.2780111747
294	0.2779400048
295	0.277853252
296	0.2778091037
297	0.277801748
298	0.2777685161
299	0.2776972953
